Numero;Descripcion;Año;Ruta del documento
1;Suspender desde el día 3 y hasta el 14 de febrero de 2025, inclusive, reanudándose a todo efecto el día 17 del mismo mes y año, el inicio del cómputo del plazo para la interposición de todos los recursos previstos por la ley 402 en el marco de las actuaciones tramitadas en los fueros nacionales ordinarios de la Ciudad Autónoma de Buenos Aires.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_001.pdf
2;Disponer un incremento salarial del uno con diez centésimos por ciento (1.10%) a partir de 1° de enero de 2025 y del tres por ciento (3%) a partir del 1º febrero de 2025, para todo el personal del Tribunal, con exclusión de sus jueces y juezas.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_002.pdf
3;Establecer, para las señoras juezas y los señores jueces del Tribunal, un incremento salarial del uno con diez centésimos por ciento (1.10%) a partir de 1° de enero de 2025 y del tres por ciento (3%) a partir del 1º febrero de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_003.pdf
4;Convertir en Secretario Letrado, categoría 2, un cargo de Prosecretario Letrado, categoría 4, existente en la vocalía del Juez Otamendi, a partir del 1º de marzo de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_004.pdf
5;Adherir a las conmemoraciones del 8 de marzo en vísperas del Día Internacional de la Mujer y continuar trabajando para la incorporación de la perspectiva y la equidad de género en el Tribunal y en el Poder Judicial de la Ciudad Autónoma de Buenos Aires.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_005.pdf
6;Crear la Secretaría Judicial de Asuntos Civiles y Comerciales, que asistirá al Tribunal Superior de Justicia en la competencia establecida por el art. 113, incisos 3 y 4, segundo supuesto –queja por denegación de recurso— de la Constitución de la Ciudad, cuando las cuestiones debatidas provengan de tribunales con competencia civil y/o comercial.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_006.pdf
7;Crear un cargo de Escribiente Jefe, categoría 8, en el ámbito de la Vocalía de la Jueza Weinberg, a partir del 1º de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_007.pdf
8;No exigir el depósito previsto en el artículo 34 de la ley 402 en aquellas quejas de las que se desprenda que no se dió al recurso de inconstitucionalidad interpuesto el tratamiento que manda la ley 402, por el plazo de tres (3) meses mientras subsistan las circunstancias que motivan esta decisión.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_008.pdf
9;Crear dos cargos de Secretario Letrado, categoría 2, en la Secretaría Judicial de Asuntos Civiles y Comerciales del Tribunal.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_009.pdf
10;Convertir un cargo de Prosecretaria Administrativa, categoría 6.1, en un cargo de Directora, categoría 5,en el Centro de Formación Judicial, a partir del 1º de abril de 2025;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_010.pdf
12;Crear un cargo de Prosecretario Administrativo, categoría 6.1, en el ámbito de la vocalía del juez Santiago Otamendi, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_012.pdf
13;Crear un cargo de Prosecretario Administrativo, categoría 6.1, en el ámbito de la vocalía del juez Santiago Otamendi, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_013.pdf
14;Convertir un cargo de Secretario Letrado, categoría 2, en un cargo de Secretario Letrado, categoría 1, en el ámbito de la vocalía de la jueza Marcela De Langhe, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_014.pdf
15;Disponer un incremento salarial del tres con diez centésimos por ciento (3.10%) a partir de 1° de abril de 2025, para todo el personal del Tribunal, con exclusión de sus jueces y juezas.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_015.pdf
16;Establecer, para las señoras juezas y los señores jueces del Tribunal, un incremento salarial del tres con diez centésimos por ciento (3.10%) a partir de 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_016.pdf
17;Convertir un cargo de Secretario Letrado, categoría 2, en un cargo de Secretario Letrado, categoria 1, en el ámbito de la vocalía de la jueza Alicia E. C. Ruiz, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_017.pdf
18;Crear un cargo de Prosecretario Administrativo, categoría 6.1, en el ámbito de la vocalía del juez Otamendi, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_018.pdf
19;Convertir dos cargos de Prosecretario Administrativo, categoría 6.3 en dos cargos de Prosecretario Administrativo, categoría 6.1, en el ámbito de la vocalía de la jueza Marcela De Langhe, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_019.pdf
20;Convertir dos cargos de Secretario Letrado, categoría 3, en dos cargos de Secretario Letrado, categoria 2, en el ámbito de la vocalía de la jueza Alicia E. C. Ruiz, a partir del 1° de abril de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_020.pdf
21;Convertir un cargo de Secretario Letrado, categoría 3, en un cargo de Secretario Letrado, categoria 2, en el ámbito de la vocalía del juez Luis F. Lozano, a partir del 1° de mayo de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_021.pdf
22;Disponer que, en los expedientes en que tramitan recursos contra sentencias dictadas por los tribunales del Poder Judicial de la Nación, la parte recurrente queda habilitada a realizar, a través del Lex 100, la primera notificación que deba efectuarse a una parte que no haya constituido domicilio electrónico en EJE.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_022.pdf
23;Crear un cargo de Secretario Letrado, categoría 2, en la Secretaría Judicial de Asuntos Laborales del Tribunal.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_023.pdf
24;Crear un cargo de Secretario Letrado, categoría 3, en el ámbito de la vocalía de la jueza Alicia E. C. Ruiz, a partir del 1º de mayo de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_024.pdf
25;Disponer un incremento salarial del seis por ciento (6%) a partir de 1° del mayo de 2025, para todo el personal del Tribunal, con exclusión de sus jueces y juezas.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_025.pdf
26;Establecer, para las señoras juezas y los señores jueces del Tribunal, un incremento salarial del seis por ciento (6%) a partir del 1° de mayo de 2025;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_026.pdf
27;Transferir un cargo de Director, categoría 4, existente en la Dirección de Ceremonial a la Secretaría de Presidencia, a partir del 16 de mayo del corriente año.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_027.pdf
28;Establecer la feria judicial de invierno entre los días 21 de julio y 1° de agosto de 2025, ambas fechas inclusive.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_028.pdf
29;Convertir un cargo de Oficial, categoría 7.2, en un cargo de Oficial Mayor, categoría 7, en el Centro de Formación Judicial, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_029.pdf
30;Convertir un cargo de Prosecretario Letrado, categoría 4, en un cargo de Secretario Letrado, categoría 3, en la Secretaría Judicial de Asuntos Penales, Penales Juveniles, Contravencionales y de Faltas, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_030.pdf
31;Convertir un cargo de Oficial Mayor, categoría 7, en un cargo de Prosecretario Administrativo, categoría 6.1, en la Secretaría Judicial de Asuntos Contencioso Administrativos y Tributarios, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_031.pdf
32;Convertir un cargo de Oficial Mayor, categoría 7, en un cargo de Prosecretario Administrativo, categoría 6.1, en la Secretaría Judicial de Asuntos Originarios y Relaciones de Consumo, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_032.pdf
33;Convertir un cargo de Prosecretario Letrado, categoría 4, en un cargo de Prosecretario Letrado, categoría 5, en la Secretaría Judicial de Asuntos Generales, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_033.pdf
34;Convertir un cargo de Escribiente, categoría 8.1, en un cargo de Prosecretario Administrativo, categoría 6.3, en la Secretaría Judicial de Asuntos Generales.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_034.pdf
35;Crear un cargo de Prosecretario Letrado, categoría 4, en la Secretaría Judicial de Asuntos Laborales, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_035.pdf
36;Crear tres (3) cargos de Prosecretario Administrativo, categoría 6.1, en la Secretaría Judicial de Asuntos Laborales.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_036.pdf
37;Crear dos cargos de Ayudante Escribiente, categoría 9, en la Secretaría Judicial de Asuntos Civiles y Comerciales, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_037.pdf
38;Crear un cargo de Secretario Letrado, categoría 3, en la Secretaría Judicial de Asuntos Civiles y Comerciales.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_038.pdf
39;Convertir un cargo de Prosecretario Administrativo, categoría 6.1, en un cargo de Prosecretario Letrado, categoría 4, en la vocalía del juez Otamendi, a partir del 1º de junio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_039.pdf
40;Reemplazar el ítem 2 de la Acordada nº 35/2025 por el siguiente: “Crear un cargo de Prosecretario Administrativo, categoría 6.1, en la Secretaría Judicial de Asuntos Laborales, a partir del 1º de junio de 2025”.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_040.pdf
41;Suspender las vistas al Ministerio Público Fiscal de la Nación dispuestas mediante Acuerdo de fecha 11 de marzo de 2025, hasta tanto se modifique la situación descripta en los considerandos de la presente.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_041.pdf
42;"Designar a las juezas y a los jueces quienes prestarán servicios durante la feria judicial de julio de 2025: JUEZAS Y JUECES Jueza Inés M. Weinberg, todo el receso; Jueza Marcela De Langhe, todo el receso; Juez Santiago Otamendi, del 21 al 30 de julio; Jueza Alicia E. C Ruiz, del 21 al 25 de julio;";2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_042.pdf
43;Convertir un cargo de Prosecretario Administrativo, categoría 6.3, en un cargo de Prosecretario Letrado, categoría 5, en la vocalía de la jueza Alicia E. C. Ruiz, a partir del 1º de julio de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_043.pdf
44;Reglamentar que los jueces pueden celebrar acuerdos por medios virtuales, presenciales o híbridos con la misma validez que la de aquellos que se desarrollen en forma enteramente presencial.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_044.pdf
45;Disponer un incremento salarial del cuatro y medio por ciento (4,5%) a partir de 1° del agosto de 2025, para todo el personal del Tribunal, con exclusión de sus jueces y juezas.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_045.pdf
46;Establecer, para las señoras juezas y los señores jueces del Tribunal, un incremento salarial del cuatro y medio por ciento (4,5%) a partir del 1° de agosto de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_046.pdf
47;Dejar sin efecto la Acordada nº 21/2022, a partir del 1º de agosto próximo.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_047.pdf
48;Crear un cargo de Oficial Jefe, categoría 7.1, en la vocalía de la jueza Alicia E. C. Ruiz.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_048.pdf
49;Integrar el Fondo creado por Acordada 3/2024 con el remanente de los recursos presupuestarios del ejercicio 2024 que fueron transferidos a la cuenta corriente del Tribunal, los cuales ascienden a la suma de SEIS MIL TRESCIENTOS VEINTE MILLONES TREINTA Y SEIS MIL DOSCIENTOS SESENTA Y CINCO PESOS CON NUEVE CENTAVOS ($6.320.036.265,09).;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_049.pdf
50;Crear la Dirección de Comunicación Institucional y Prensa, con dependencia funcional de la Presidencia del Tribunal.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_050.pdf
51;Aprobar el proyecto de presupuesto del Tribunal Superior de Justicia para el ejercicio 2026, que como Anexos I, II, y III forman parte de la presente Acordada, el cual contempla un total de gastos y necesidades financieras de CUARENTA Y SIETE MIL OCHO MILLONES SETENTA Y CINCO MIL SEISCIENTOS VENTIDOS PESOS ($47.008.075.622.-).;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_051.pdf
52;Convertir un cargo de Prosecretario Administrativo, categoría 6.3, en un cargo de Director, categoría 5, en la Asesoría de Control de Gestión, dependiente de la Presidencia del Tribunal, a partir del 1º de octubre del corriente año.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_052.pdf
53;Convertir un cargo de Auxiliar, categoría 10, en un cargo de Escribiente Jefe, categoría 8, en el área de Comunicación de la Dirección de Comunicación Institucional y Prensa, a partir del 1° de octubre de 2025.;2025;https://www.tsjbaires.gov.ar/repositorio/decisiones/2025/AC_2025_053.pdf
